Index,Verb,ConjType,Tense,Subject,Conjugation,Regular,Frequency,Frequency level,Level
159,comer,Indicative,Pretérito Imperfeito,ele/ela/você,comia,TRUE,0,5 Very Low,4
160,comer,Indicative,Pretérito Imperfeito,nós,comíamos,TRUE,0,5 Very Low,4
161,comer,Indicative,Pretérito Imperfeito,vós,comíeis,TRUE,0,5 Very Low,4
162,comer,Indicative,Pretérito Imperfeito,eles/elas/vocês,comiam,TRUE,0,5 Very Low,4
163,correr,Indicative,Presente,eu,corro,TRUE,0,5 Very Low,4
164,correr,Indicative,Presente,tu,corres,TRUE,0,5 Very Low,4
165,correr,Indicative,Presente,ele/ela/você,corre,TRUE,13729,3 Medium,2
166,correr,Indicative,Presente,nós,corremos,TRUE,0,5 Very Low,4
167,correr,Indicative,Presente,vós,correis,TRUE,0,5 Very Low,4
168,correr,Indicative,Presente,eles/elas/vocês,correm,TRUE,0,5 Very Low,4
169,correr,Indicative,Pretérito Perfeito,eu,corri,TRUE,0,5 Very Low,4
170,correr,Indicative,Pretérito Perfeito,tu,correste,TRUE,0,5 Very Low,4
171,correr,Indicative,Pretérito Perfeito,ele/ela/você,correu,TRUE,10151,3 Medium,2
172,correr,Indicative,Pretérito Perfeito,nós,corremos,TRUE,0,5 Very Low,4
173,correr,Indicative,Pretérito Perfeito,vós,correstes,TRUE,0,5 Very Low,4
174,correr,Indicative,Pretérito Perfeito,eles/elas/vocês,correram,TRUE,0,5 Very Low,4
175,correr,Indicative,Pretérito Imperfeito,eu,corria,TRUE,0,5 Very Low,4
176,correr,Indicative,Pretérito Imperfeito,tu,corrias,TRUE,0,5 Very Low,4
177,correr,Indicative,Pretérito Imperfeito,ele/ela/você,corria,TRUE,0,5 Very Low,4
178,correr,Indicative,Pretérito Imperfeito,nós,corríamos,TRUE,0,5 Very Low,4
179,correr,Indicative,Pretérito Imperfeito,vós,corríeis,TRUE,0,5 Very Low,4
180,correr,Indicative,Pretérito Imperfeito,eles/elas/vocês,corriam,TRUE,0,5 Very Low,4
181,ter,Indicative,Presente,eu,tenho,FALSE,489679,1 Very High,1
182,ter,Indicative,Presente,tu,tens,FALSE,259203,2 High,2
183,ter,Indicative,Presente,ele/ela/você,tem,FALSE,550585,1 Very High,1
184,ter,Indicative,Presente,nós,temos,FALSE,284748,2 High,2
185,ter,Indicative,Presente,vós,tendes,FALSE,0,5 Very Low,5
186,ter,Indicative,Presente,eles/elas/vocês,têm,FALSE,106843,2 High,2
187,ter,Indicative,Pretérito Perfeito,eu,tive,FALSE,57347,2 High,2
188,ter,Indicative,Pretérito Perfeito,tu,tiveste,FALSE,12412,3 Medium,3
189,ter,Indicative,Pretérito Perfeito,ele/ela/você,teve,FALSE,43620,3 Medium,3
190,ter,Indicative,Pretérito Perfeito,nós,tivemos,FALSE,16953,3 Medium,3
191,ter,Indicative,Pretérito Perfeito,vós,tivestes,FALSE,0,5 Very Low,5
192,ter,Indicative,Pretérito Perfeito,eles/elas/vocês,tiveram,FALSE,8684,4 Low,5
193,ter,Indicative,Pretérito Imperfeito,eu,tinha,FALSE,179371,2 High,2
194,ter,Indicative,Pretérito Imperfeito,tu,tinhas,FALSE,23449,3 Medium,3
195,ter,Indicative,Pretérito Imperfeito,ele/ela/você,tinha,FALSE,179371,2 High,2
196,ter,Indicative,Pretérito Imperfeito,nós,tínhamos,FALSE,15771,3 Medium,3
197,ter,Indicative,Pretérito Imperfeito,vós,tínheis,FALSE,0,5 Very Low,5
198,ter,Indicative,Pretérito Imperfeito,eles/elas/vocês,tinham,FALSE,20932,3 Medium,3
